order_id,order_date,customer_name,region,product,quantity,unit_price
1001,2025-09-12,Client_0,North,Laptop,2,1200.0
1002,2025-09-25,Client_1,South,Monitor,3,300.0
1003,2025-10-05,Client_2,East,Keyboard,5,100.0
1004,2025-10-18,Client_3,West,Mouse,10,40.0
1005,2025-11-02,Client_4,North,Laptop,4,1200.0
1006,2025-11-20,Client_5,South,Monitor,3,300.0
1007,2025-12-05,Client_6,East,Keyboard,6,100.0
1008,2025-12-25,Client_7,West,Mouse,8,40.0
1009,2026-01-08,Client_8,North,Laptop,5,1200.0
1010,2026-01-22,Client_9,South,Monitor,4,300.0
1011,2026-02-05,Client_10,East,Keyboard,7,100.0
1012,2026-02-18,Client_11,West,Mouse,6,300.0
1013,2026-03-02,Client_12,North,Laptop,8,1200.0
1014,2026-03-15,Client_13,South,Monitor,7,300.0
